nodes,roots,leaves,edges,mean_predecessors,max_predecessors,min_predecessors,mean_successors,max_successors,min_successors,mean_edges,max_edges,min_edges,experiment,runtime
75,18,29,99,1.32,2,0,1.32,7,0,2.64,7,0,order_random,0.0073188999999995
152,36,55,191,1.256578947368421,2,0,1.256578947368421,9,0,2.513157894736842,9,0,order_random,0.0194498999999996
333,68,123,457,1.3723723723723724,2,0,1.3723723723723724,10,0,2.744744744744745,10,0,order_random,0.0799156000000005
45,7,16,67,1.488888888888889,2,0,1.488888888888889,6,0,2.977777777777778,6,1,order_random,0.0063252
189,41,71,245,1.2962962962962965,2,0,1.2962962962962965,6,0,2.592592592592593,6,0,order_random,0.0249918000000004
461,97,168,620,1.3449023861171367,2,0,1.3449023861171367,8,0,2.689804772234273,8,0,order_random,0.1750381999999994
248,53,84,321,1.2943548387096775,2,0,1.2943548387096775,7,0,2.588709677419355,7,1,order_random,0.0360314999999999
236,57,87,311,1.3177966101694916,2,0,1.3177966101694916,7,0,2.635593220338983,7,0,order_random,0.0397612
448,97,168,588,1.3125,2,0,1.3125,8,0,2.625,8,0,order_random,0.1333700000000002
380,87,141,488,1.2842105263157897,2,0,1.2842105263157897,7,0,2.568421052631579,7,0,order_random,0.0998415999999995
179,34,60,249,1.3910614525139664,2,0,1.3910614525139664,8,0,2.782122905027933,8,0,order_random,0.0236618000000001
258,61,90,339,1.313953488372093,2,0,1.313953488372093,8,0,2.627906976744186,8,0,order_random,0.0389246999999999
161,31,54,226,1.403726708074534,2,0,1.403726708074534,7,0,2.8074534161490683,7,0,order_random,0.0219775999999995
352,80,129,464,1.318181818181818,2,0,1.318181818181818,9,0,2.636363636363636,9,0,order_random,0.0717515000000004
92,27,32,112,1.2173913043478262,2,0,1.2173913043478262,7,0,2.4347826086956523,7,1,order_random,0.0079330999999998
249,51,93,337,1.3534136546184738,2,0,1.3534136546184738,8,0,2.706827309236948,8,0,order_random,0.0487196
144,38,58,186,1.2916666666666667,2,0,1.2916666666666667,6,0,2.583333333333333,6,0,order_random,0.0190255999999999
179,33,64,241,1.3463687150837989,2,0,1.3463687150837989,7,0,2.6927374301675977,7,0,order_random,0.0258444999999998
83,19,30,110,1.3253012048192772,2,0,1.3253012048192772,6,0,2.6506024096385543,6,0,order_random,0.0082491999999998
294,61,107,402,1.3673469387755102,2,0,1.3673469387755102,8,0,2.7346938775510203,8,0,order_random,0.0615253000000004
74,15,23,101,1.364864864864865,2,0,1.364864864864865,5,0,2.72972972972973,5,1,order_random,0.0108702000000002
81,24,29,99,1.2222222222222223,2,0,1.2222222222222223,6,0,2.4444444444444446,6,0,order_random,0.0068658999999993
203,47,72,269,1.3251231527093597,2,0,1.3251231527093597,9,0,2.6502463054187197,9,0,order_random,0.0292368000000005
338,67,122,456,1.349112426035503,2,0,1.349112426035503,8,0,2.698224852071006,8,0,order_random,0.0785521000000004
55,14,18,67,1.2181818181818185,2,0,1.2181818181818185,6,0,2.4363636363636365,6,0,order_random,0.0032847
318,65,111,430,1.3522012578616351,2,0,1.3522012578616351,8,0,2.7044025157232703,8,1,order_random,0.0658636000000001
64,13,28,79,1.234375,2,0,1.234375,7,0,2.46875,7,0,order_random,0.0056007000000004
151,33,48,201,1.3311258278145697,2,0,1.3311258278145697,7,0,2.662251655629139,7,1,order_random,0.0209342000000001
423,95,153,558,1.319148936170213,2,0,1.319148936170213,8,0,2.6382978723404253,8,0,order_random,0.1289232
272,55,93,359,1.3198529411764706,2,0,1.3198529411764706,7,0,2.639705882352941,7,0,order_random,0.0680559999999994
462,98,166,622,1.3463203463203464,2,0,1.3463203463203464,10,0,2.6926406926406927,10,0,order_random,0.1433214000000005
209,45,81,264,1.263157894736842,2,0,1.263157894736842,7,0,2.526315789473684,7,0,order_random,0.0300666000000005
476,98,168,655,1.3760504201680672,2,0,1.3760504201680672,9,0,2.7521008403361344,9,0,order_random,0.179939
